"product_category","total_orders","avg_product_price","avg_freight_cost","freight_to_price_pct","avg_review_score"
"christmas_supplies","125","70.03","25.57","36.5","4.13"
"signaling_and_security","138","155.04","47.09","30.4","4.12"
"electronics","2507","62.25","18.35","29.5","4.14"
"food_drink","218","68.23","20.15","29.5","4.44"
"dvds_blu_ray","56","82.81","22.40","27.1","4.20"
"furniture_living_room","409","165.89","43.64","26.3","4.11"
"kitchen_dining_laundry_garden_furniture","239","191.21","48.67","25.5","4.14"
"drinks","284","77.60","19.52","25.2","4.26"
"office_furniture","1246","214.57","53.55","25.0","3.66"
"food","435","65.18","16.06","24.6","4.33"
"furniture_decor","6213","115.17","27.12","23.5","4.08"
"housewares","5695","108.52","25.16","23.2","4.21"
"furniture_bedroom","89","211.32","48.35","22.9","4.29"
"books_technical","255","73.67","16.61","22.5","4.43"
"telephony","4076","76.08","17.01","22.4","4.06"
"luggage_accessories","1008","136.69","29.63","21.7","4.38"
"costruction_tools_garden","184","130.25","27.88","21.4","4.28"
"fashion_shoes","233","98.42","20.53","20.9","4.29"
"fashion_bags_accessories","1813","82.42","16.90","20.5","4.24"
"stationery","2248","99.78","20.41","20.5","4.31"
"garden_tools","3414","137.94","28.30","20.5","4.20"
"fashion_underwear_beach","117","79.54","15.85","19.9","4.02"
"industry_commerce_and_business","229","166.93","32.94","19.7","4.24"
"fashion_male_clothing","106","98.61","19.46","19.7","3.83"
"bed_bath_table","9171","111.51","22.01","19.7","4.02"
"books_general_interest","493","91.80","18.04","19.7","4.54"
"market_place","268","103.04","19.62","19.0","4.12"
"home_appliances","747","105.53","19.37","18.4","4.22"
"pet_shop","1683","126.05","23.25","18.4","4.28"
"cine_photo","63","109.50","19.98","18.2","4.33"
"construction_tools_lights","231","176.72","31.95","18.1","4.23"
"sports_leisure","7493","127.65","21.78","17.1","4.24"
"tablets_printing_image","77","95.88","15.92","16.6","4.19"
"baby","2763","144.71","24.02","16.6","4.13"
"home_construction","466","173.79","28.70","16.5","4.06"
"art","191","121.64","19.82","16.3","4.14"
"computers_accessories","6502","136.68","22.13","16.2","4.09"
"toys","3780","124.58","20.08","16.1","4.25"
"auto","3794","152.65","23.82","15.6","4.15"
"unknown_category","1332","124.91","19.19","15.4","4.06"
"home_confort","370","158.19","23.72","15.0","3.91"
"health_beauty","8608","143.13","20.77","14.5","4.24"
"construction_tools_construction","728","196.22","28.03","14.3","4.14"
"perfumery","3075","127.10","17.29","13.6","4.27"
"cool_stuff","3531","173.19","23.14","13.4","4.23"
"consoles_games","1014","145.91","18.82","12.9","4.19"
"costruction_tools_tools","97","163.96","20.93","12.8","4.44"
"air_conditioning","245","217.61","26.69","12.3","4.14"
"audio","344","148.83","16.44","11.0","3.86"
"musical_instruments","608","303.31","29.50","9.7","4.25"
"construction_tools_safety","154","247.59","23.92","9.7","4.03"
"home_appliances_2","226","477.01","45.15","9.5","4.16"
"small_appliances","606","300.87","25.47","8.5","4.27"
"watches_gifts","5472","212.64","17.96","8.4","4.13"
"fixed_telephony","212","261.30","21.34","8.2","3.98"
"agro_industry_and_commerce","177","398.68","31.85","8.0","4.11"
"small_appliances_home_oven_and_coffee","72","647.08","36.89","5.7","4.43"
"computers","176","1234.63","54.83","4.4","4.26"
