"order_month","order_year","total_orders","monthly_revenue"
1,2017,"750","127482.37"
2,2017,"1653","271239.32"
3,2017,"2546","414330.95"
4,2017,"2303","390812.40"
5,2017,"3546","566851.40"
6,2017,"3135","490050.37"
7,2017,"3872","566299.08"
8,2017,"4193","645832.36"
9,2017,"4150","701077.49"
10,2017,"4478","751117.01"
11,2017,"7289","1153364.20"
12,2017,"5513","843078.29"
1,2018,"7069","1077887.46"
2,2018,"6555","966168.41"
3,2018,"7003","1120598.24"
4,2018,"6798","1132878.93"
5,2018,"6749","1128774.52"
6,2018,"6099","1011978.29"
7,2018,"6159","1027807.28"
8,2018,"6351","985491.64"
