"order_year","order_month","order_month_name","total_orders","monthly_revenue","avg_order_value","prev_month_revenue","mom_growth_pct"
2017,1,"Jan 2017","750","127482.37","169.98",NULL,NULL
2017,2,"Feb 2017","1653","271239.32","164.09","127482.37","112.8"
2017,3,"Mar 2017","2546","414330.95","162.74","271239.32","52.8"
2017,4,"Apr 2017","2303","390812.40","169.70","414330.95","-5.7"
2017,5,"May 2017","3546","566851.40","159.86","390812.40","45.0"
2017,6,"Jun 2017","3135","490050.37","156.32","566851.40","-13.5"
2017,7,"Jul 2017","3872","566299.08","146.25","490050.37","15.6"
2017,8,"Aug 2017","4193","645832.36","154.03","566299.08","14.0"
2017,9,"Sep 2017","4150","701077.49","168.93","645832.36","8.6"
2017,10,"Oct 2017","4478","751117.01","167.73","701077.49","7.1"
2017,11,"Nov 2017","7289","1153364.20","158.23","751117.01","53.6"
2017,12,"Dec 2017","5513","843078.29","152.93","1153364.20","-26.9"
2018,1,"Jan 2018","7069","1077887.46","152.48","843078.29","27.9"
2018,2,"Feb 2018","6555","966168.41","147.39","1077887.46","-10.4"
2018,3,"Mar 2018","7003","1120598.24","160.02","966168.41","16.0"
2018,4,"Apr 2018","6798","1132878.93","166.65","1120598.24","1.1"
2018,5,"May 2018","6749","1128774.52","167.25","1132878.93","-0.4"
2018,6,"Jun 2018","6099","1011978.29","165.93","1128774.52","-10.3"
2018,7,"Jul 2018","6159","1027807.28","166.88","1011978.29","1.6"
2018,8,"Aug 2018","6351","985491.64","155.17","1027807.28","-4.1"
