"product_category","total_orders","revenue","avg_order_value","avg_review_score","revenue_share_pct"
"health_beauty","8608","1410897.87","163.91","4.24","9.15"
"watches_gifts","5472","1261855.41","230.60","4.13","8.18"
"bed_bath_table","9171","1224493.32","133.52","4.02","7.94"
"sports_leisure","7493","1119684.29","149.43","4.24","7.26"
"computers_accessories","6502","1032602.41","158.81","4.09","6.70"
"furniture_decor","6213","884057.80","142.29","4.08","5.73"
"housewares","5695","761356.31","133.69","4.21","4.94"
"cool_stuff","3531","693231.44","196.33","4.23","4.50"
"auto","3794","669533.37","176.47","4.15","4.34"
"garden_tools","3414","567542.45","166.24","4.20","3.68"
"toys","3780","546835.50","144.67","4.25","3.55"
"baby","2763","466203.02","168.73","4.13","3.02"
"perfumery","3075","444003.38","144.39","4.27","2.88"
"telephony","4076","379433.05","93.09","4.06","2.46"
"office_furniture","1246","334080.20","268.12","3.66","2.17"
"stationery","2248","270191.35","120.19","4.31","1.75"
"pet_shop","1683","251274.79","149.30","4.28","1.63"
"computers","176","226944.67","1289.46","4.26","1.47"
"musical_instruments","608","202348.12","332.81","4.25","1.31"
"electronics","2507","202065.91","80.60","4.14","1.31"
"small_appliances","606","197756.21","326.33","4.27","1.28"
"unknown_category","1332","191938.28","144.10","4.06","1.24"
"fashion_bags_accessories","1813","180076.16","99.32","4.24","1.17"
"luggage_accessories","1008","167647.88","166.32","4.38","1.09"
"consoles_games","1014","167034.11","164.73","4.19","1.08"
"construction_tools_construction","728","163257.20","224.25","4.14","1.06"
"home_appliances_2","226","118008.40","522.16","4.16","0.77"
"home_construction","466","94358.41","202.49","4.06","0.61"
"home_appliances","747","93301.78","124.90","4.22","0.61"
"furniture_living_room","409","85699.83","209.54","4.11","0.56"
"agro_industry_and_commerce","177","76203.30","430.53","4.11","0.49"
"home_confort","370","67305.68","181.91","3.91","0.44"
"fixed_telephony","212","59917.94","282.63","3.98","0.39"
"air_conditioning","245","59853.22","244.30","4.14","0.39"
"kitchen_dining_laundry_garden_furniture","239","57329.64","239.87","4.14","0.37"
"audio","344","56853.67","165.27","3.86","0.37"
"books_general_interest","493","54150.54","109.84","4.54","0.35"
"small_appliances_home_oven_and_coffee","72","49245.90","683.97","4.43","0.32"
"construction_tools_lights","231","48202.81","208.67","4.23","0.31"
"industry_commerce_and_business","229","45771.00","199.87","4.24","0.30"
"construction_tools_safety","154","41813.42","271.52","4.03","0.27"
"food","435","35338.54","81.24","4.33","0.23"
"market_place","268","32874.85","122.67","4.12","0.21"
"costruction_tools_garden","184","29094.38","158.12","4.28","0.19"
"signaling_and_security","138","27893.81","202.13","4.12","0.18"
"fashion_shoes","233","27715.88","118.95","4.29","0.18"
"drinks","284","27581.08","97.12","4.26","0.18"
"art","191","27018.72","141.46","4.14","0.18"
"furniture_bedroom","89","23110.61","259.67","4.29","0.15"
"books_technical","255","23021.03","90.28","4.43","0.15"
"food_drink","218","19266.97","88.38","4.44","0.12"
"costruction_tools_tools","97","17934.17","184.89","4.44","0.12"
"fashion_male_clothing","106","12514.95","118.07","3.83","0.08"
"christmas_supplies","125","11950.04","95.60","4.13","0.08"
"fashion_underwear_beach","117","11160.02","95.38","4.02","0.07"
"tablets_printing_image","77","8608.05","111.79","4.19","0.06"
"cine_photo","63","8157.14","129.48","4.33","0.05"
"music","37","6825.92","184.48","4.30","0.04"
"furniture_mattress_and_upholstery","37","5904.75","159.59","3.89","0.04"
"dvds_blu_ray","56","5892.04","105.22","4.20","0.04"
"party_supplies","38","5398.66","142.07","4.08","0.04"
"books_imported","50","5182.65","103.65","4.44","0.03"
"portateis_cozinha_e_preparadores_de_alimentos","13","4228.05","325.23","3.62","0.03"
"fashio_female_clothing","36","3302.39","91.73","3.92","0.02"
"la_cuisine","12","2516.16","209.68","4.58","0.02"
"fashion_sport","24","2503.33","104.31","4.54","0.02"
"arts_and_craftmanship","22","2168.47","98.57","4.14","0.01"
"diapers_and_hygiene","25","2046.19","81.85","3.96","0.01"
"flowers","29","1794.90","61.89","4.41","0.01"
"pc_gamer","6","1280.07","213.35","3.83","0.01"
"home_comfort_2","22","1131.41","51.43","3.95","0.01"
"cds_dvds_musicals","12","954.99","79.58","4.67","0.01"
"fashion_childrens_clothes","7","718.98","102.71","5.00","0.00"
"security_and_services","2","324.51","162.26","2.50","0.00"
