"seller_id","total_orders","total_revenue","avg_item_price","revenue_percentile"
"77128dec4bec4878c37ab7d6169d6f26","1","6.50","6.50","0"
"1fa2d3def6adfa70e58c276bb64fe5bb","1","6.90","6.90","0.0003368137420006736"
"702835e4b785b67a084280efca355756","1","7.60","7.60","0.0006736274840013472"
"ad14615bdd492b01b0d97922e87cb87f","1","8.25","8.25","0.0010104412260020209"
"4965a7002cca77301c82d3f91b82e1a9","1","8.49","8.49","0.0013472549680026945"
"0f94588695d71662beec8d883ffacf09","1","9.00","9.00","0.001684068710003368"
"c18309219e789960add0b2255ca4b091","1","9.90","9.90","0.0020208824520040417"
"95cca791657aabeff15a07eb152d7841","1","9.99","9.99","0.0023576961940047153"
"344223b2a90784f64136a8a5da012e7f","1","10.90","10.90","0.002694509936005389"
"f9f68daa2af419d38f745478bcb3da1a","1","11.20","11.20","0.0030313236780060626"
